Price,Close,High,Low,Open,Volume,Symbol
Ticker,XLF,XLF,XLF,XLF,XLF,
Date,,,,,,
2011-02-07,10.452516555786133,10.477330139415088,10.334654764477444,10.34085797832276,61790537,Financials
2011-02-08,10.526952743530273,10.54556310782174,10.427701351295664,10.45871741136898,59912524,Financials
2011-02-09,10.452516555786133,10.508346936889359,10.378077989642346,10.458720497879142,68776339,Financials
2011-02-10,10.452516555786133,10.471126925569774,10.384280475239969,10.402890845023608,53665322,Financials
2011-02-11,10.595191955566406,10.626208753113403,10.390484441695627,10.415298025382763,90898394,Financials
2011-02-14,10.601395606994629,10.620004519816279,10.551769169228757,10.588988451367404,43128085,Financials
2011-02-15,10.588990211486816,10.638616657501677,10.551770923161516,10.582787725013729,60650508,Financials
2011-02-16,10.644819259643555,10.657225688371366,10.582787116004495,10.626209616551836,44080140,Financials
2011-02-17,10.632410049438477,10.657222900402967,10.582784347509493,10.607596470226422,43641043,Financials
2011-02-18,10.657225608825684,10.669632037460893,10.607599166037094,10.644819180190472,39684855,Financials
2011-02-22,10.328450202941895,10.545564843941186,10.303637350798294,10.489735198370488,125808569,Financials
2011-02-23,10.285030364990234,10.402892171325547,10.154761401134763,10.322248924559563,142391001,Financials
2011-02-24,10.260214805603027,10.303638027955708,10.136149080236205,10.260214805603027,98899648,Financials
2011-02-25,10.40289306640625,10.427706655333777,10.322249812701598,10.334656971289284,61174545,Financials
2011-02-28,10.452516555786133,10.508346936889359,10.409094058868924,10.471126925569774,68170072,Financials
